+-----------------------------------------------------+-----------------+---------+
|                        State                        |      Action     | Q-Value |
|    (1, 3, 1, True, True, True, False, True, True)   |   Actions.LEFT  |  -0.98  |
|    (1, 2, 1, True, True, True, False, True, True)   |    Actions.UP   |   -1.0  |
|    (0, 2, 1, True, True, True, False, True, True)   |   Actions.DOWN  |  -1.07  |
|    (0, 2, 1, True, True, True, False, True, True)   |   Actions.LEFT  |  -0.98  |
|    (0, 1, 1, True, True, True, False, True, True)   |  Actions.RIGHT  |  -0.51  |
|    (0, 1, 1, True, True, True, False, True, True)   |   Actions.DOWN  |   -0.3  |
|    (1, 1, 1, True, True, True, False, True, True)   |  Actions.RIGHT  |  -0.77  |
|    (1, 2, 1, True, True, True, False, True, True)   |  Actions.RIGHT  |  -1.25  |
|    (1, 3, 1, True, True, True, False, True, True)   |  Actions.RIGHT  |  -0.92  |
|    (1, 4, 1, True, True, True, False, True, True)   |   Actions.DOWN  |  -1.02  |
|    (2, 4, 1, True, True, True, False, True, True)   |   Actions.LEFT  |  -1.36  |
|    (2, 3, 1, True, True, True, False, True, True)   |   Actions.DOWN  |  -1.49  |
|    (3, 3, 1, True, True, True, False, True, True)   |   Actions.LEFT  |  -1.26  |
|    (3, 2, 1, True, True, True, False, True, True)   |   Actions.DOWN  |  -1.18  |
|    (4, 2, 1, True, True, True, False, True, True)   |   Actions.LEFT  |  -1.07  |
|    (4, 1, 1, True, True, True, False, True, True)   |  Actions.RIGHT  |  -0.97  |
|    (4, 2, 1, True, True, True, False, True, True)   |    Actions.UP   |  -1.41  |
|    (4, 2, 1, True, True, True, False, True, True)   |  Actions.RIGHT  |  -1.28  |
|    (4, 3, 1, True, True, True, False, True, True)   |    Actions.UP   |  -1.38  |
|    (3, 3, 1, True, True, True, False, True, True)   |  Actions.RIGHT  |  -1.22  |
|    (3, 4, 1, True, True, True, False, True, True)   |   Actions.LEFT  |  -1.38  |
|    (3, 4, 1, True, True, True, False, True, True)   |   Actions.DOWN  |  -1.16  |
|    (4, 4, 1, True, True, True, False, True, True)   |    Actions.UP   |  -1.11  |
|    (3, 3, 1, True, True, True, False, True, True)   |   Actions.DOWN  |  -1.16  |
|    (4, 3, 1, True, True, True, False, True, True)   |  Actions.RIGHT  |  -1.03  |
|    (3, 3, 1, True, True, True, False, True, True)   |    Actions.UP   |  -1.44  |
|    (2, 3, 1, True, True, True, False, True, True)   |   Actions.LEFT  |  -1.07  |
|    (2, 2, 1, True, True, True, False, True, True)   |    Actions.UP   |  -1.06  |
|    (0, 2, 1, True, True, True, False, True, True)   |  Actions.RIGHT  |  -1.32  |
|    (0, 3, 1, True, True, True, False, True, True)   |   Actions.LEFT  |  -1.24  |
|    (1, 3, 1, True, True, True, False, True, True)   |    Actions.UP   |  -0.96  |
|    (1, 3, 1, True, True, True, False, True, True)   |   Actions.DOWN  |  -1.38  |
|    (2, 2, 1, True, True, True, False, True, True)   |  Actions.RIGHT  |  -1.09  |
|    (2, 3, 1, True, True, True, False, True, True)   |    Actions.UP   |  -1.09  |
|    (1, 4, 1, True, True, True, False, True, True)   |    Actions.UP   |  -0.83  |
|    (0, 3, 1, True, True, True, False, True, True)   |  Actions.RIGHT  |  -1.04  |
|    (0, 1, 1, True, True, True, False, True, True)   |   Actions.LEFT  |  -0.76  |
| (2, 2, 0, False, False, False, False, False, False) |  Actions.RIGHT  |  -1.36  |
| (0, 3, 0, False, False, False, False, False, False) |   Actions.DOWN  |  -1.08  |
| (1, 3, 0, False, False, False, False, False, False) |  Actions.PICKUP |  12.34  |
| (1, 3, 1, False, False, False, False, False, False) |  Actions.RIGHT  |  -1.67  |
| (1, 4, 1, False, False, False, False, False, False) |    Actions.UP   |  -1.39  |
| (0, 4, 1, False, False, False, False, False, False) |   Actions.LEFT  |   -1.4  |
| (0, 3, 1, False, False, False, False, False, False) |   Actions.DOWN  |  -1.43  |
| (1, 3, 1, False, False, False, False, False, False) |    Actions.UP   |  -1.44  |
| (1, 3, 1, False, False, False, False, False, False) |   Actions.DOWN  |  -1.61  |
| (2, 3, 1, False, False, False, False, False, False) |    Actions.UP   |  -1.72  |
| (1, 4, 1, False, False, False, False, False, False) |   Actions.LEFT  |  -1.33  |
| (1, 3, 1, False, False, False, False, False, False) |   Actions.LEFT  |  -1.66  |
| (1, 2, 1, False, False, False, False, False, False) |   Actions.DOWN  |  -1.49  |
| (2, 2, 1, False, False, False, False, False, False) |  Actions.RIGHT  |  -1.48  |
| (2, 3, 1, False, False, False, False, False, False) |   Actions.DOWN  |  -1.17  |
| (3, 3, 1, False, False, False, False, False, False) |   Actions.DOWN  |   -1.0  |
| (4, 3, 1, False, False, False, False, False, False) |  Actions.RIGHT  |  -1.09  |
| (4, 4, 1, False, False, False, False, False, False) |    Actions.UP   |  -0.92  |
| (3, 4, 0, False, False, False, False, False, False) |    Actions.UP   |  -1.38  |
| (2, 4, 0, False, False, False, False, False, False) |    Actions.UP   |  -1.29  |
| (1, 4, 0, False, False, False, False, False, False) |    Actions.UP   |  -0.99  |
| (0, 4, 0, False, False, False, False, False, False) |  Actions.PICKUP |  12.92  |
| (0, 4, 1, False, False, False, False, False, False) |   Actions.DOWN  |  -1.41  |
| (4, 2, 0, False, False, False, False, False, False) |    Actions.UP   |  -1.22  |
| (3, 2, 0, False, False, False, False, False, False) |   Actions.LEFT  |   -1.4  |
| (3, 1, 0, False, False, False, False, False, False) |  Actions.RIGHT  |  -1.26  |
| (3, 2, 0, False, False, False, False, False, False) |  Actions.RIGHT  |  -1.33  |
| (3, 3, 0, False, False, False, False, False, False) |   Actions.LEFT  |   -1.2  |
| (3, 1, 0, False, False, False, False, False, False) |   Actions.LEFT  |  -1.18  |
| (3, 0, 0, False, False, False, False, False, False) |   Actions.DOWN  |  -1.01  |
| (4, 0, 0, False, False, False, False, False, False) |  Actions.RIGHT  |  -0.83  |
| (4, 2, 1, False, False, False, False, False, False) |    Actions.UP   |  -0.99  |
|  (3, 3, 1, False, False, True, False, False, False) |   Actions.DOWN  |   -0.3  |
|  (4, 3, 1, False, False, True, False, False, False) |  Actions.RIGHT  |  -0.66  |
|  (4, 4, 1, False, False, True, False, False, False) |   Actions.LEFT  |   -0.3  |
|  (4, 3, 1, False, False, True, False, False, False) |   Actions.LEFT  |   -0.3  |
|  (4, 2, 1, False, False, True, False, False, False) |   Actions.LEFT  |  -0.59  |
|  (4, 1, 1, False, False, True, False, False, False) |   Actions.LEFT  |  -0.76  |
|  (4, 0, 1, False, False, True, False, False, False) |    Actions.UP   |  -0.88  |
|  (3, 0, 1, False, False, True, False, False, False) |   Actions.DOWN  |  -0.92  |
|  (4, 0, 1, False, False, True, False, False, False) |  Actions.RIGHT  |  -0.88  |
|  (4, 1, 1, False, False, True, False, False, False) |    Actions.UP   |   -0.7  |
|  (3, 1, 1, False, False, True, False, False, False) |  Actions.RIGHT  |   -0.3  |
|  (3, 2, 1, False, False, True, False, False, False) |    Actions.UP   |  -0.51  |
|  (2, 2, 1, False, False, True, False, False, False) |  Actions.RIGHT  |  -0.51  |
|  (2, 3, 1, False, False, True, False, False, False) |    Actions.UP   |  -0.81  |
|  (2, 3, 1, False, False, True, False, False, False) |  Actions.RIGHT  |  -0.51  |
|  (2, 4, 1, False, False, True, False, False, False) |   Actions.DOWN  |   -0.3  |
|  (3, 4, 0, False, False, True, False, False, True)  |   Actions.LEFT  |   -0.3  |
|  (3, 3, 0, False, False, True, False, False, True)  |    Actions.UP   |   -0.3  |
|  (2, 3, 0, False, False, True, False, False, True)  |   Actions.LEFT  |   -0.3  |
|  (2, 2, 0, False, False, True, False, False, True)  |   Actions.LEFT  |  -1.01  |
|  (2, 1, 0, False, False, True, False, False, True)  |   Actions.DOWN  |  -0.95  |
|  (3, 1, 0, False, False, True, False, False, True)  |    Actions.UP   |  -1.17  |
|  (2, 1, 0, False, False, True, False, False, True)  |  Actions.RIGHT  |  -0.99  |
|  (2, 2, 0, False, False, True, False, False, True)  |  Actions.RIGHT  |  -0.51  |
|  (2, 3, 0, False, False, True, False, False, True)  |    Actions.UP   |  -0.51  |
|  (1, 3, 0, False, False, True, False, False, True)  |  Actions.PICKUP |  10.63  |
|  (1, 3, 1, False, False, True, False, False, True)  |    Actions.UP   |  -0.51  |
|  (0, 3, 1, False, False, True, False, False, True)  |   Actions.DOWN  |  -0.55  |
|  (1, 3, 1, False, False, True, False, False, True)  |   Actions.DOWN  |  -0.66  |
|  (2, 3, 1, False, False, True, False, False, True)  |    Actions.UP   |  -0.93  |
|  (1, 3, 1, False, False, True, False, False, True)  |  Actions.RIGHT  |  -0.79  |
|  (1, 4, 1, False, False, True, False, False, True)  |    Actions.UP   |  -0.51  |
|  (0, 4, 1, False, False, True, False, False, True)  |   Actions.LEFT  |   -0.7  |
|  (0, 3, 1, False, False, True, False, False, True)  |  Actions.RIGHT  |  -0.66  |
|   (0, 4, 1, False, True, True, False, False, True)  |   Actions.DOWN  |  -1.21  |
|   (1, 4, 1, False, True, True, False, False, True)  |   Actions.LEFT  |  -0.84  |
|   (1, 3, 1, False, True, True, False, False, True)  |  Actions.RIGHT  |   -0.8  |
|   (1, 4, 1, False, True, True, False, False, True)  |   Actions.DOWN  |   -0.9  |
|   (2, 4, 1, False, True, True, False, False, True)  |    Actions.UP   |  -0.64  |
|   (1, 4, 1, False, True, True, False, False, True)  |    Actions.UP   |  -1.13  |
|   (0, 4, 1, False, True, True, False, False, True)  |   Actions.LEFT  |  -0.88  |
|   (0, 3, 1, False, True, True, False, False, True)  |  Actions.RIGHT  |  -0.91  |
|   (1, 3, 1, False, True, True, False, False, True)  |   Actions.LEFT  |  -0.79  |
|   (1, 2, 1, False, True, True, False, False, True)  |   Actions.LEFT  |  -0.55  |
|   (1, 1, 1, False, True, True, False, False, True)  |   Actions.DOWN  |  -0.51  |
|   (2, 1, 1, False, True, True, False, False, True)  |   Actions.LEFT  |  -0.51  |
|   (2, 0, 1, False, True, True, False, False, True)  |    Actions.UP   |  -0.51  |
|   (1, 0, 1, False, True, True, False, False, True)  |  Actions.RIGHT  |   -0.3  |
|   (1, 1, 1, False, True, True, False, False, True)  |    Actions.UP   |  -0.51  |
|   (0, 1, 1, False, True, True, False, False, True)  |   Actions.LEFT  |  -0.51  |
|   (0, 0, 1, False, True, True, False, False, True)  | Actions.DROPOFF |   8.4   |
|   (0, 0, 0, False, True, True, False, False, True)  |  Actions.RIGHT  |   -1.2  |
|   (0, 1, 0, False, True, True, False, False, True)  |   Actions.LEFT  |  -0.95  |
|   (0, 0, 0, False, True, True, False, False, True)  |   Actions.DOWN  |  -1.13  |
|   (1, 0, 0, False, True, True, False, False, True)  |  Actions.RIGHT  |  -0.93  |
|   (1, 1, 0, False, True, True, False, False, True)  |  Actions.RIGHT  |   -0.7  |
|   (1, 2, 0, False, True, True, False, False, True)  |   Actions.DOWN  |  -0.84  |
|   (2, 2, 0, False, True, True, False, False, True)  |    Actions.UP   |  -0.73  |
|   (1, 2, 0, False, True, True, False, False, True)  |   Actions.LEFT  |   -0.3  |
|   (1, 1, 0, False, True, True, False, False, True)  |   Actions.LEFT  |   -0.9  |
|   (1, 0, 0, False, True, True, False, False, True)  |   Actions.DOWN  |  -0.79  |
|   (2, 0, 0, False, True, True, False, False, True)  |    Actions.UP   |   -0.9  |
|   (1, 0, 0, False, True, True, False, False, True)  |    Actions.UP   |  -0.88  |
|   (4, 0, 0, False, True, True, False, False, True)  |    Actions.UP   |  -0.66  |
|   (4, 4, 0, False, True, True, False, False, True)  |   Actions.LEFT  |  -0.97  |
|   (3, 4, 0, False, True, True, False, False, True)  |    Actions.UP   |  -0.69  |
|   (2, 4, 0, False, True, True, False, False, True)  |   Actions.DOWN  |   -0.3  |
|   (3, 3, 0, False, True, True, False, False, True)  |   Actions.LEFT  |  -0.66  |
|   (3, 2, 0, False, True, True, False, False, True)  |  Actions.RIGHT  |   -0.3  |
